Última OAB por estado — snapshot 2026-07-20
Fonte: https://procstudio.api.br/api/v1/lawyer/state/<UF>/last

UF  | ÚLTIMA OAB  | Nº OAB    | TOTAL     | ATUALIZADO
----+--------------+------------+-----------+---------------------
AC  | AC_7017      | 7017       | 5788      | 2025-07-21T20:12:07.154Z
AL  | AL_22710     | 22710      | 19016     | 2025-07-21T22:51:11.233Z
AP  | AP_6232      | 6232       | 5731      | 2025-07-21T20:21:49.961Z
AM  | AM_20815     | 20815      | 18277     | 2025-07-21T23:40:57.989Z
BA  | BA_87394     | 87394      | 80969     | 2025-07-22T04:51:27.253Z
CE  | CE_55783     | 55783      | 44703     | 2025-07-22T01:21:20.768Z
DF  | DF_84646     | 84646      | 76933     | 2025-07-22T06:43:31.551Z
ES  | ES_42857     | 42857      | 35364     | 2025-07-22T00:42:01.689Z
GO  | GO_76237     | 76237      | 69197     | 2025-07-22T02:45:01.463Z
MA  | MA_30706     | 30706      | 26766     | 2025-07-22T00:21:52.931Z
MT  | MT_36330     | 36330      | 31296     | 2025-07-22T00:17:27.451Z
MS  | MS_31360     | 31360      | 24983     | 2025-07-21T23:08:15.397Z
MG  | MG_206778    | 206778     | 164290    | 2025-07-22T15:43:11.414Z
PA  | PA_41178     | 41178      | 34754     | 2025-07-22T01:43:06.345Z
PB  | PB_35011     | 35011      | 26534     | 2025-07-21T23:40:17.126Z
PR  | PR_131030    | 131030     | 117922    | 2026-07-18T22:13:50.353Z
PE  | PE_68053     | 68053      | 56778     | 2025-07-22T02:47:22.824Z
PI  | PI_25765     | 25765      | 22929     | 2025-07-21T23:31:04.088Z
RJ  | RJ_266850    | 266850     | 224724    | 2025-07-22T13:16:21.182Z
RN  | RN_23400     | 23400      | 20425     | 2025-07-21T23:03:35.978Z
RS  | RS_139350    | 139350     | 117117    | 2025-07-22T05:06:24.936Z
RO  | RO_15299     | 15299      | 13824     | 2025-07-21T22:14:38.431Z
RR  | RR_3211      | 3211       | 3043      | 2025-07-21T20:16:55.815Z
SC  | SC_75978     | 75978      | 67661     | 2025-07-22T03:38:39.549Z
SP  | SP_536051    | 536051     | 472628    | 2025-07-22T10:22:06.011Z
SE  | SE_18019     | 18019      | 16146     | 2025-07-21T23:51:35.691Z
TO  | TO_14032     | 14032      | 11941     | 2025-07-21T21:55:02.551Z

Observação: todas as UFs travadas em 21-22/jul/2025, exceto PR (18/jul/2026).
